,id,text
48,N0126-05-31,"아, 돼지!"
49,P0214-01-43,"거친 밥이나마 그런대로 맘껏 먹을 수 있어, 해진 옷이라도 부끄럽지가 않다."
50,N0153-05-25,어제의 일로 심신이 피곤하였던지 그 이튿날 늦게야 잠을 깨니 간밤에 오던 비는 어느 결에 그쳤고 명랑한 햇발이 미닫이에 높았다.
51,P0546-01-49,저의 죄가 이미 이토록 이르다니!
52,P0568-01-48,시계의 단조로운 울림 밤의 우울한 언어!
53,S0107-05-01,"사랑하는 조카야, 형님은 너를 취직시켜서 꼭 여기에 남기고 싶어 하셨단다."
54,N0087-03-22,"대시우드 부인은 놀라서 말을 하지 못했고, 또다시 침묵이 이어졌다."
55,N0046-02-31,내가 어떤 사람인지 자네도 알고 있지 않은가?
56,P0647-01-42,"진홍빛 동녘, 그것은 비를 예고하지요."
57,S0022-05-01,"그런데 그 기사라는 작자가, 그 버르장머리 없는 인간이 날 함부로 대해?"
58,N0275-01-28,"그런데 기대했던 낯익은 평원, 그러니까 오른쪽으로 떡갈나무 숲이 있고 저 멀리에는 나지막한 하얀 교회가 보이는 평원이 나타나야 하는데, 그 대신 갑자기 전혀 다른, 처음 보는 풍경이 눈앞에 펼쳐졌다."
59,N0155-01-33,"처음이 아니라면 많이 다닌 것 같지만, 그런 것도 아니니, 이번까지 합해봐야 겨우 세 번밖에는 더 안 된다."
60,N0112-07-25,어느 누가 겁나지 않겠습니까!
61,N0042-07-31,"낯선 사람 때문에 내가 무시된다면 난 질투를 느끼지 않을 수 없어, 캐서린."
62,P1314-01-47,내가 무엇을 할까 어떻게 할까 내게 문제될 것은 이뿐이로다
63,P0879-01-53,"미소년의 아름다운 몸은, 동현보다 뛰어나고 미자하보다도 출중하네."
64,N0041-09-48,"끔찍스러우리만치 검소하고 소박한 아내는 옷가지나 장식품을 두고 좋다 싫다 따지는 법이 없었고, 억지로 이야기를 꺼내도 도무지 내켜 하지 않았으며, 너스레를 떨어도 재밌어하는 구석이 없었다."
65,S0071-10-05,그냥 내 얘기를 들어.
66,S0115-04-08,이런저런 눈치를 봐 가면서 총애를 얻느니 차라리 모든 이들의 멸시를 받더라도 마음대로 하는 것이 내 성미엔 더 맞아.
67,P0790-01-36,나는 정의에 대항했다.
68,S0101-10-13,"자네는 조순 집안의 식객이었고, 난 도안고 휘하의 사람이었지."
69,S0093-08-11,이 함성이 뭘 의미하오?
70,P0085-01-48,여러 선비 차례차례 요직에 등용되건만 광문 선생의 직위 홀로 초라하다네
71,P0145-01-36,내 환상들은 하나둘씩 허물어졌다
72,P0016-01-43,"한 총각이 죽었네, 육십포린트 때문에,"
73,S0091-10-14,이겼습니다.
74,S0113-03-09,어려운 일이 많았습니다.
75,N0204-03-29,아냐!
76,N0005-02-30,그는 집으로 돌아와 아내에게 안누시카가 누이동생이 있는 수도원에도 없다고 말했다.
77,S0167-04-13,"출감 날, 그이의 모습을 먼발치서 마지막으로 보고는 지금까지 만나지 못했죠."
78,P0759-01-47,"가까운 친인척들이 권세가가 되지 못했으니, 긴 세월 여전히 평민으로 살아가네."
79,N0242-07-29,그 애의 표정에 생기가 돌았다.
80,N0116-02-22,둘은 동시에 고개를 숙여 동전을 주우려 했다.
81,N0055-04-26,"멜리베아 아씨, 아씨의 두려움으로 인해 제가 할 변명은 자리를 잃고 말았습니다."
82,N0230-06-27,당신이 나한테 무슨 짓을 했는지 읽어 봐!
83,S0001-07-01,"솔직히 말씀드리자면, 그런 걸 별로 좋아하지 않는답니다."
84,S0046-02-03,벌써 전화가 오는구나.
85,N0068-03-31,"과거는 나의 마음을 사로잡는데, 현재는 나를 불안하게 한다, 왜냐하면 미래는 죽음이기 때문이다."
86,P0429-01-43,"아빠, 나 시 썼어요"
87,N0198-09-27,소중한 인간의 생명을 등한시한 놈이 누군데!
88,N0168-03-28,"이번에도 역시 모제르에게 갔다가 퇴짜를 맞고 그녀는 호박으로 된 담배 파이프를 가져왔는데, 그 자체로는 최고급품이었지만, 역시 금만 받는 우리에게는 아무런 가치도 없는 것이었다."
89,N0065-03-24,코펠리우스가 그쪽으로 다가서자 화덕에서는 파란 불꽃이 피어올랐어.
90,S0125-03-04,소원이 이루어질 겁니다.
91,P0411-01-43,가을바람 불어와 온 땅의 풀은 시들고 꽃망울엔 짙푸른 그림자 저녁의 한기가 이네
92,P0336-01-42,은거한 이가 보검을 베고 누우니 밤중에 우르릉거리는 소리가 들리네.
93,N0143-02-31,둥지를 다 옮기고 그곳에 알을 낳아 새끼가 부화되면 어김없이 여우 한 마리가 다가와 대추야자나무 밑에서 소리치곤 했습니다.
94,P0868-01-44,내가 다행히 네가 있으니 매사를 잊어버리고 간다.
95,N0022-04-25,"사실, 어떤 것도 죽지 않고, 모든 것은 영원히 존재한다."
96,S0160-04-16,당신의 모습을 보면 놀랍지만 당신의 말을 듣자니 경탄해 마지않겠군요.
97,N0186-04-22,한 잔 더 하세요!
98,P0861-01-44,낮에 길을 걷노라니 나보다 반절이나 작은 이 자꾸자꾸 나를 따릅니다
99,N0288-02-28,겉과 속이 달랐고 모든 사람이 그를 실제의 그보다 더 굉장한 사람으로 생각하기를 바라고 있었다.
100,S0015-07-10,속으루야 억장이 무너지재.
101,N0133-04-25,장례협회 회원 가운데 누군가가 세상을 떠나면 그는 언제나 이상한 불안감에 휩싸이게 되었다.
102,S0099-02-15,그러지 말라고 내게 설교를 해 봐야 아무 소용이 없소.
103,N0015-02-33,구름은 암흑 속에서 거대함과 육중함에서 비롯된 공포심으로 인간을 압박하듯 서서히 움직이고 있다.
104,P0632-03-44,"이렇게 그가 이야기를 하고 있는 동안에 시장을 지나, 집으로 돌아가는 남자와 여자들의 무리가 점점 늘어났다."
105,P1263-01-47,힘!
106,S0145-04-07,신사 여러분.
107,P0293-01-42,장마 후 빈 수풀 사이로 밥 짓는 연기 느릿느릿 피어오르며 명아주 나물 찌고 기장밥 지어 동쪽 들판으로 내어가는데
108,P0227-01-48,처음에는 놀랐네 학처럼 여위시어 알아볼 수 없음에.
109,P0421-01-35,"그대 보지 못했는가, 주마천은 설해 가를 흐르고 사막은 아득히 누렇게 하늘로 이어지는 것을."
110,S0167-05-02,"언니, 나 왔어."
111,N0055-06-24,참으로 혼이 났어.
112,P0087-01-43,"소릉에 사는 늙은이 울음을 삼켜 울며 봄날, 남몰래 곡강 굽이로 나갔네"
113,N0190-05-25,"참, 애기는 못할 것이 없다."
114,S0053-06-01,나 역시 고생하고 있어요.
115,N0168-02-22,"만약 여러분이 알고 싶다면, 즉 아주 처음부터 얘기를 시작하기를 원한다면, 그래 그렇게 하자."
116,N0029-01-33,"누구 생각 있는 이는 곰곰히 생각하면 알 일이지만은, 박성운이는 소화 칠 년에 그러므로 서력으로 따지면 일천구백삼십이 년, 그 전후해서, 그러니까 다시 또 한 번 따지자면 경향문학인가 프로문학인가가, 한참 성할 때 신진 작가로 소설을 쓰던 사람이다."
117,P1142-01-46,본래 귀공자로 태어나서 평생토록 실로 재능을 아끼었다.
118,P0720-01-48,오 나의 검은 영혼이여!
119,P0308-01-45,"이제 우리의 삶이 겉치레를 위해 장식될 뿐이라고, 장인이나 요리사나 하인의 보잘것없는 수공품에 지나지 않는다고 생각하면, 정말이지, 마음이 무거워져 어디에서 위안을 찾아야 할지 모르겠소!"
120,S0051-03-16,별로 안 좋아.
121,S0009-09-10,"나가서 북쪽으로 가면 이십리도 못 가 반경 이삼십리 되는 큰 소나무 숲이 나오는데, 산 위아래가 하나로 이어져 있죠."
122,N0089-03-25,"빌헬름은 가업을 이어 받는 것을 자기 마음을 억누르는 부담이자, 자기 정신의 날개를 붙여 버리는 아교이며, 영혼이 높이 비상하는 것을 옥죄는 올가미라고 여겼다."
123,N0273-03-24,"니콜라이 이바니치도 한창때는 곱슬머리에 홍조 띤 얼굴, 균형 잡힌 몸매의 사내였지만, 지금은 뒤룩뒤룩 살이 찐, 교활하기도 선하기도 한 눈매에 마치 실로 동여매 놓은 것 같은 주름살이 살진 이마를 가르고 있는, 이미 머리가 희끗희끗해진 중년의 남자가 되었다."
124,S0050-04-14,"아버지, 저는 아직 어려요."
125,S0070-08-12,진정 거짓말이 아닌 오해였담 두 가집니다.
126,S0028-04-18,배신한 죄로 쫓아내겠지.
127,N0076-08-31,장씨는 말을 마치고 세상을 떠났다.
128,N0075-03-33,귀졸이 명령을 듣고 큰 가마솥에 기름을 한 섬을 붓고 펄 펄 끓이며 방주를 잡아넣으려 하니 방주가 겁이 나고 몹시 두려워 빌며 말했다.
129,S0058-06-10,"가지 말아요, 젊은이."
130,P1166-01-33,그 소녀는 하아얀 달빛을 이었다.
131,P0581-01-50,"모든 시인은 만일 시인이라면 그들의 진실과 허구의 정자에서 시상을 추구하는 데 있어, 그 자신에 대해 거의 연구하지 말고,"
132,S0034-01-05,"그녀가 마치 비너스처럼 집안 청소를 하고, 난 그녀의 모습에 정신이 팔렸을 때였지."
133,S0014-03-05,"우리 신라는 국세가 약하여, 백제로부터 잦은 시달림을 받고 있소."
134,S0135-04-16,오늘 불운은 두고두고 화근이 될 거야.
135,P1227-01-35,삼밭 울바주엔 호박꽃이 희한한 마을
136,P0032-01-36,동쪽 시냇가 자그마한 암자에는 지팡이 짚으니 물 졸졸 흐르네
137,P0772-01-36,비행기가 폭탄 투하의 사명을 지고 학교 수업 하듯 매일 오전에 베이징 상공을 비행한다.
138,N0065-06-24,"로타르는 여동생을 진심으로 사랑했으므로 여동생이 내뱉는 한탄의 말은 한마디, 한마디가 불꽃처럼 그의 가슴에 와서 박혔고, 그렇지 않아도 몽상가 나타나엘에 대한 오랫동안 품어왔던 마음의 반감은 맹렬한 분노로 타올랐다."
139,N0075-08-31,아비는 하늘 같고 어미는 땅과 같으니라.
140,P1394-01-22,"제독이가 처음 안뜰로 걸어 들어왔을 때, 플라테로!"
141,S0164-02-13,은지네 할머니는 은지보다 나이가 열네 갑절이나 많으십니다.
142,N0047-04-25,생기발랄이라고 말하면 될까요?
143,N0117-09-22,이게 뭐죠?
144,N0094-09-25,이거 무서워서 말 한마디 편하게 할 수 없겠네요.
145,P0063-01-48,계곡 입구엔 좋은 샘물과 바위가 있어 야인이 은거할 수 있어라
146,N0234-01-28,"여봐요, 도지마 씨!"
147,S0102-07-17,"폐하께서는 모든 문을 다 열어, 테베의 모든 백성들이 아비를 살해한 자를 보게 하라고 소리 높여 외치고 계십니다."
148,S0023-01-01,그사이 짐은 은밀히 진행해 온 계획을 발표하려 한다.
149,P1369-01-46,과학이여!
150,N0233-02-22,"노기의 본명은 히라이데 소노코였는데, 이는 가부키 배우가 호적에 올린 이름처럼 본인한테는 낯선 구석이 있다."
151,N0057-03-23,"옷의 양옆이 짐배에 스쳐 부스럭거리는 소리가 들렸고, 막 뒤에서 손을 뻗어 저를 잡으려는 것처럼 느껴졌습니다."
152,P0767-02-50,내 마음 유난히 쓸쓸하다.
153,S0146-02-01,저승길 안내하는 헤르메스여!
154,S0051-09-02,그녀는 마치 뭔가를 보는 듯 똑바로 앞을 응시했어.
155,N0175-10-28,그러나 무엇보다도 내 가슴을 갈기갈기 찢고 나를 고통스럽게 했던 것은 그의 마지막 순간이었다.
156,S0021-01-03,"너의 교묘한 거짓말 누가 들을까, 나는 뿌리까지 파헤치리라."
157,P0828-01-48,나는 내 생명의 일부가 서서히 찢기는 것을 느끼고 있었다.
158,P0114-01-42,그가 당신의 영혼을 어루만지네.
159,N0063-06-21,네 어머닌 위선자야.
160,N0057-02-31,그런데 저 예프로신 이바노비치의 상점에서 꾀꼬리 소리가 들렸고 판자 울타리 사이로 성상화 앞에 켜 둔 등불 빛이 새 나왔어요.
161,S0051-07-18,그리고 이상해요.
162,N0181-01-21,"옷을 벗으면서, 옹팔의 눈동자가 움직인 것 같은 느낌이 들었다."
163,S0125-03-01,소원이 이루어질 겁니다.
164,S0154-09-14,내 이름이 뭐든 그게 무슨 상관이냐?
165,N0279-01-21,내가 그렇게 함으로써 죄악을 저지르고 있다는 것을 내가 잘 알고 있었기 때문이다.
166,N0038-01-25,약간 굽은 한 송목 밑에 이르자 그는 발을 멈춘다.
167,P0720-01-21,오 나의 검은 영혼이여!
168,S0073-05-17,우리 땐 졸업하면 내가 벌어서 다 내가 했어.
169,S0005-07-08,"보세요, 어머닌 저를 사랑하지 않아요."
170,P0899-01-35,이 몸이 재주 없어 명주가 버리시니 공명이 부운이라 초목동부 원통쿠나
171,S0060-10-07,"그 여자는 이 사람을 농락했다가 툭 차 버리고 난 다음, 그건 내가 반대했기 때문이라고 하든가, 아니면 결혼해 놓고 그건 내가 그렇게 하라고 했기 때문이라고 할 거란 말입니다."
172,N0109-07-29,병풍화도 밑그림만 팔할 정도 된 채 더 이상 진척될 기미가 보이지 않았습니다.
173,N0239-04-31,"문호는 난수의 이 말에,"
174,N0255-01-27,샤라미킨 부인의 서재로 통하는 살짝 열린 문 사이로 불빛이 수줍게 새어 나온다.
175,N0011-02-25,"엄마 나 사탕 성은 안 준대, 씨."
176,N0279-01-31,내가 그렇게 함으로써 죄악을 저지르고 있다는 것을 내가 잘 알고 있었기 때문이다.
177,S0144-07-08,"앵앵 아씨가 용서를 구하길, 이제 응당 개과천선하여 이후로 다시는 이런 일이 없도록 하겠습니다 라고 하셨습니다."
178,P1197-01-52,그렇게 배잡게 들어섰어도 석류알처럼 아름답지 못한 연유는 굴뚝마다에 가느다란 연기가 피와 눈물을 태워이는 까닭이라
179,N0289-01-27,그러나 가산이 점점 기울어 이제는 추수도 겨우 일 년 계량이 될락말락하고 집안 살림이 궁색해지니 점점 짜증이 나기 시작하였다.
180,N0034-07-27,남주는 얼굴이 파랗게 질려 가지고 가쁜 숨을 몰아쉬고 있었다.
181,P0613-01-33,"디에스모의 보데가로 갈 때면 언제나 나는 산안토니오 거리의 담벼락을 따라 돌아, 들판으로 나 있는 닫힌 쇠창살문 쪽으로 가곤 했습니다."
182,N0276-08-30,"그리고 이어서 다음, 그리고 그 다음 소절들이 들려왔다."
183,N0041-07-25,"못생긴 데다 덩치가 큰 영국 여자가 촌스럽고 낡아 빠진 모자를 쓴 채 남편으로 보이는 호리호리한 남자와 식사를 하면서 주고받는 말소리는 너무도 음산하게 천장으로 울려 퍼졌고, 독일인처럼 생긴 젊은이는 구석 자리에 홀로 앉아 뒤쪽 벽면에 쓸쓸한 그림자를 드리우고 있었습니다."
184,P1069-02-42,다시 이십리를 가서 저녁에 해산정에 도착했다.
185,S0115-07-10,이건 속임수 같지는 않아.
186,S0102-03-06,"라이오스 왕의 살해자가 하나든 패거리든, 그들 머리 위에 무서운 저주가 내리기를!"
187,S0145-03-10,이런 인간은 기껏해야 지나가는 행인으로나 써먹을 수 있어!
188,S0107-02-03,리호이므체프의 아들이 이백 오십루블에 금빛 자명종 시계를 샀군.
189,P0560-01-43,"자연의 영역에서 여기저기 찾아다니는 만물은 방향을 바꾸거나 사라지기 마련이니,"
190,S0136-07-14,견성은 쉬운 일이지.
191,N0251-02-31,제가 마음먹고 있었는데.
192,S0055-02-06,그가 말을 멈추었네.
193,N0086-01-23,"나는 내 아내에 대해서 아는 것이 거의 없었지만, 아내 역시도 나를 더 잘 알지 못할 것이라고 생각하며 크게 괘념치 않았다."
194,S0054-04-16,그가 살아 활동하는 동안에 말이오.
195,N0197-02-25,어머니와 아버지는 모두 생과 단을 하셨으니 애정극을 공연했던 사람으로 설마 이런 생각을 이해하지 못하시지는 않겠죠.
196,N0078-08-23,"아가씨, 고맙습니다라는 뜻인가 보다고 생각하며 순이는 침대 위로 올라앉았습니다."
197,N0250-01-29,"세 번째 병을 마시기 시작하면서, 그보즈디코프는 자신의 코앞에서 한 손을 흔들며, 이 세상에 자신보다 더 행복한 사람은 아무도 없을 거라고 다짐했다."
198,N0193-04-30,차녀는 이십칠세.
199,S0083-01-15,가장 확실한 방법은 어머니 마음을 얻는 거예요.
200,S0143-05-01,그날 저녁 무렵에 아저씨는 짐을 싸느라고 분주하셨어요.
201,P0601-01-52,"배에는 땅 위에 지은 것같이 대형 건물이 즐비하고 빈랑나무, 야자나무, 귤나무 등을 심어 선원을 먹이고 달고 시원한 음식과 맛있는 음식이 셀 수 없이 많고 염소, 양, 닭, 돼지, 거위 등을 기르고 코끼리, 말, 소, 물소도 기른다"
202,S0106-05-01,그 여자는 펠리페의 부인이고 왕비야.
203,N0156-02-23,그는 옆에 누워 있는 동료에게로 눈길을 돌렸다.
204,N0208-01-28,동료 죄수가 권하는 바람에 고순은 비로소 불문에 들고자 하는 마음을 일으켜 간절히 맹세했다.
205,S0156-09-09,아무리 당신이 부탁한다 해도 난 받아들일 수 없소.
206,N0165-01-22,"기미에는 무릎 위에서 숄을 만지작거리며 점술가의 얼굴을 멀뚱멀뚱 쳐다보고 있었는데, 그의 말이 그리 생뚱맞게 들리지는 않았다."
207,S0002-01-15,"그러니까, 타오훙 걔가 리젠자이랑 좋아 지내는 건 다 언니한테 배운 거라고."
208,N0276-03-27,"나는 할 말을 잊고 그 움직이지 않는 어두운 얼굴 위의, 나를 향한 밝지만 죽은 듯한 눈만 그저 망연자실 바라보았다."
209,N0074-06-27,아무도 우리의 헤어짐을 이해하지 못했다.
210,S0073-04-04,뭐?
211,S0053-07-12,"물론이지요, 부인!"
212,P0330-01-39,외로운 짐승들은 옛 연못을 그리워하고 무리를 떠난 새도 옛 숲을 슬퍼하는데
213,S0069-03-17,이 사원 카드
214,P1227-01-52,삼밭 울바주엔 호박꽃이 희한한 마을
215,N0039-07-28,자라야 한다는 것은 내가 아니라 장차 내 아내가 될 점순이의 키 말이다.
216,N0257-01-22,그처럼 친한 영감이 방에서 자건만 그의 가슴은 남편이 곁에 누웠을 때처럼 느긋하지 않았다.
217,N0152-03-33,소장은 단장의 늘어진 듯한 행동에 발을 구르며 독촉이 아니라 역정을 쓴다.
218,S0040-06-10,이제 더 이상 말은 들리지 않고 대지가 신음 소리를 내는구나!
219,N0035-09-28,비는 춘호의 근심도 씻어간 듯 오늘은 그에게도 즐거운 빛이 보였다.
220,P0607-01-39,아침저녁으로 보던 아들과 딸이여 이제 허전함으로 고개를 빼고 기다리겠구나
221,S0015-10-05,생각할수록 끔찍해요.
222,S0079-04-05,그럼 네 친구들의 도움을 받아 네가 손수 나를 그곳으로 옮겨라.
223,N0115-02-21,"위나라 공자 무기가 한번은 방 안에서 책을 읽고 있었는데, 비둘기 한 마리가 책상 밑으로 날아 들어오자 새매가 쫓아와 비둘기를 죽였다."
224,S0008-04-03,"합리적이든 비합리적이든, 이건 가문의 규율이야."
225,N0281-09-25,물색 모시 상하의에 작은 무늬가 들어간 갈색 기모노를 걸치고 짧은 칼을 찬 차림을 보니 여느 때의 식당 주인 모습과는 달리 뭔가 식견이 있어 보이는 게 이 세상 사람들 같지 않다.
226,N0055-09-22,아니죠.
227,S0135-05-08,"로미오는 얼마나 쓸데없는 싸움인가를 생각해 보라고 점잖은 말로 타일렀고, 싸우면 영주님 노여움을 살 것이라고 달랬어요."
228,S0035-05-10,"내 잘못, 인정해요."
229,P0946-01-50,"울려라, 아코디언아."
230,P1098-01-44,기침하는 남자 기침을 시작한다 밤 한시.
231,P1031-01-48,해 질 녘 강가에서 술을 실컷 마시니 잠깐 내리던 눈 그쳤지만 여전히 날씨 차갑다.
232,N0124-10-25,"그녀는 굳게 닫힌 창문을 보고는, 문을 잘 잠그고 나와서 사합원 사람들에게 말했다."
233,S0082-09-19,내가 뭔 말을 하겠소?
234,N0052-02-22,그는 고삐를 당겼으며 마차의 속도가 느려지자 원했던 키스를 하려고 했다.
235,S0078-01-03,그런 변화가 내 목숨을 걸었던 사랑스런 그대에게는 결코 일어나지 않기를!
236,N0065-03-28,코펠리우스가 그쪽으로 다가서자 화덕에서는 파란 불꽃이 피어올랐어.
237,P0891-01-33,"정적에 휩싸인 정원이 에워싼 도시의 풍문을 들으며, 소나무 그림자를 한 조각 엮어 놓았다"
238,N0117-03-23,원래는 단카를 짓다가 나중에 소설로 전향한 요코는 처녀작을 아사가와 씨의 친구인 기쿠이 씨에게 봐 달라고 부탁한 적이 있었다.
239,N0226-09-48,이제 난 무엇을 해야 하나?
240,S0089-06-03,외삼촌이 몰라서 하는 소리예요.
241,P0017-01-35,"소문은 들었던가 붉게 녹슨 감방에 대해,"
242,S0025-07-01,여기 앉아 있는 여러분은 그 많은 아름다운 날들을 나와 함께 보내지 않았습니까?
243,S0027-02-19,저처럼 이렇게 유능한 의사는 동물들의 본성을 다루는 장에서 수많은 재미있는 것들을 언급하곤 하죠.
244,P0614-01-35,그런 상소리를 해대는 자는 본 일이 없어.
245,N0095-08-26,자괴감에 빠진 앤은 교편을 책상 위로 떨구고 앤서니에게 자리로 가서 앉으라고 했다.
246,N0062-02-33,"아뿔싸, 아뿔싸, 아뿔싸."
247,N0203-02-27,"안 그러면 여러분은 자유를 잃게 되고, 고통 속에서 노예가 되어 죽음보다 더 참기 어려운 지경에 빠질 거예요."
248,S0042-08-11,어쨌든 배은망덕한 여인으로 여겨질 필요가 있을까요?
249,P0121-01-48,"양철로 만든 녹색 관에서처럼, 잔뜩 포마드 바른 갈색 머릿결의 여자 머리 하나가 천천히 그리고 멍청하게 낡은 욕조에서 떠오른다, 제대로 수선도 안 된 손상을 입고서."
250,S0058-08-11,소개해도 될까요.
251,N0127-02-33,그러나 단속이 심하면 심할수록 갇혀 있는 사람의 마음은 더욱 허랑하게 밖으로 날아서 강릉집이 고개 너머의 읍을 그리워하듯이 서울집 또한 첩첩한 산을 넘어 앞대를 그리워하는 심정은 일반이었다.
252,S0036-02-10,"아니, 저따위 버릇이 어디 있어!"
253,N0285-05-33,"아니, 이런 무례한 불한당을 봤나!"
254,P0070-01-42,"부산한 늙은 바보, 주책없는 해야, 너는 왜 이처럼 창문을 통하고 커튼을 통해서 우리를 찾아오느냐?"
255,P0118-10-21,"폐하시여, 진정하시고 제 참말을 들으세요."
256,N0170-04-25,"그런데도 그 사람이 여전히 저희 어머니에게 이불이나 서랍장, 또 그 외의 가재도구를 받은 것에 대해 신경 쓰곤 할 때마다 제가 오히려 부끄러워질 뿐만 아니라 왠지 나쁜 짓을 한 것 같은 기분마저 들었습니다."
257,N0133-09-31,종다리에게 엄습했던 감정은 이제 다 지나간 듯했다.
258,S0114-09-07,가서 즐거워하는 황태자에게 전하시오.
259,N0193-06-26,아버지는 오년 전에 돌아가셨다.
